200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
200,{10,163,101,7,10,56,170,164,136,156,71,65,4,125,179,21,125,63,9,26,85,140}
1000,{125,179,21,125,63,9,26,85,140,70,14,10,163,101,7,10,56,170,164,136,156,71}
